ID,Genero,Casado,Edad,Graduado,Experiencia_laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos_anuales_brutos,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Zona_Este,Zona_Norte,Zona_Oeste,Zona_Sur,Sector_Macro_Administración/Servicios Públicos,Sector_Macro_Arte/Cultura,Sector_Macro_Empresa/Finanzas,Sector_Macro_Otros,Sector_Macro_Salud/Bienestar,Sector_Macro_Tecnología/Industria,Campanna_anno_0,Campanna_anno_1,Campanna_anno_3,Campanna_anno_4,Campanna_anno_5,Cluster
CLI10,0,1,1.0351927910565533,1,0.7682715787882621,-0.7327433459424082,0.15796401828368692,-1.0349609669428312,-0.6273325852581351,1.0464913304837427,0.22766535413867467,1.2190749233100797,1,-0.6902344209051638,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
CLI100,1,1,0.8710028898624139,1,0.7682715787882621,0.624361163194121,-0.48891511758510287,-0.8707678548306792,-0.6273325852581351,1.2254016445486995,-0.30916549893750506,0.16653596910555918,1,0.41900878637718175,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4
CLI1000,1,1,0.925732856927127,1,0.7682715787882621,0.624361163194121,0.15796401828368692,-0.9254988922013966,-0.6273325852581351,-0.5551685025999804,0.762884102550962,-0.5351566670307879,0,0.7349750333000317,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2
CLI10000,1,0,-0.8256260891436936,0,-0.49668670800331816,-0.7327433459424082,0.8048431541524768,0.8258943036615592,0.6826590317992148,-0.8981835393574937,0.583940484858902,-0.5351566670307879,0,1.6559830296496156,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
CLI10001,1,1,0.21424328508585613,0,0.7682715787882621,0.624361163194121,-0.48891511758510287,-0.2139954063820708,-0.6273325852581351,-0.7507492344315708,0.16479327224686985,-0.5351566670307879,1,-0.858301573523701,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
CLI10002,1,1,1.5277624946389716,0,0.7682715787882621,-0.7327433459424082,-1.1357942534538927,-1.5275403032792876,-0.6273325852581351,0.9075052542226053,-1.7503870684573388,2.6224601955827738,0,0.40556341416769875,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
CLI10003,1,1,-0.1688664843671359,1,0.7682715787882621,-0.7327433459424082,1.4517222900212665,0.16912185521295078,-0.6273325852581351,1.5936766024644677,-0.4913333259573498,-0.5351566670307879,0,0.9702690469659837,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2
CLI10004,1,1,-0.6614361879495542,0,-0.49668670800331816,-0.7327433459424082,2.098601425890056,0.6617011915494071,0.6826590317992148,-1.060112631256778,-0.6767253623049795,-0.5351566670307879,0,-1.1675451343418095,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3
CLI10005,1,0,-0.9898159903378331,1,-1.7616449947948984,-0.7327433459424082,1.4517222900212665,0.9900874157737113,0.6826590317992148,-0.9902381513637523,0.6951757066674799,-0.5351566670307879,0,-1.5305701839978498,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3
CLI10006,1,1,-0.3330563855612753,1,0.7682715787882621,-0.7327433459424082,-0.48891511758510287,0.3333149673251029,0.6826590317992148,-0.2859836380868973,-0.38009810414877204,0.16653596910555918,0,0.7080842888810657,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
